,show_id,show_name,english,korean,other,genres,cc_src,url,imdb
269,R009,alchemy_of_souls,Alchemy of Souls,환혼,還魂,"intimate, romantic, fantasy",Netflix,https://www.imdb.com/title/tt20859920/?ref_=nv_sr_srsg_0,1
270,R033,change_days,Change Days,체인지 데이즈,---,"soapy, reality, wedding, romance",Netflix,https://mydramalist.com/710991-change-days-season-2,0
271,R050,eve,Eve,이브,---,"melodrama, drama",viki,https://www.imdb.com/title/tt20723826/?ref_=nv_sr_srsg_10,1
272,R074,i_am_not_a_robot,I Am Not a Robot,로봇이 아니야,I’m Not a Robot___She's Not a Robot?!,"romantic, comedy, drama",viki,https://www.imdb.com/title/tt7521778/?ref_=nv_sr_srsg_0,1
273,R078,insider,Insider,인사이더,---,"action, thriller, suspense, crime, mystery",netflix,https://www.imdb.com/title/tt14731504/?ref_=nv_sr_srsg_2,1
274,R120,mouse,Mouse,마우스,---,"thriller, suspense, drama",viki,https://www.imdb.com/title/tt13634792/?ref_=nv_sr_srsg_0,1
275,R172,red_sky,Red Sky,홍천기,紅天機___Lovers of the Red Sky,"romance, fantasy, period piece",viki,https://www.imdb.com/title/tt13776460/?ref_=nv_sr_srsg_3,1
276,R179,rich_man_poor_woman,"Rich Man, Poor Woman",리치맨,Rich Man,"drama, romance, comedy",viki,https://www.imdb.com/title/tt8178468/,1
277,R203,strong_girl_bongsoon,Strong Girl Bong-soon,힘쎈여자 도봉순,Strong Woman Do Bong Soon___Powerful Woman Do Bong Soon___Strong Girl Do Bong Soon,"quirky, romantic, superhero, drama, comedy",netflix,https://www.imdb.com/title/tt6263222/?ref_=nv_sr_srsg_0,1
278,R233,the_legend_of_the_blue_sea,The Legend of the Blue Sea,푸른 바다의 전설,Legend of the Blue Sea___The Legends of the Blue Sea___LBS,"romance, comedy, fantasy, drama",viki,https://www.imdb.com/title/tt5766194/?ref_=nv_sr_srsg_0,1
279,R005,a_model_family,A Model Family,모범가족,Exemplary Family,"suspenseful, thriller, drug lord, crime",netflix,https://www.imdb.com/title/tt21289712/,1
280,R187,seoul_vibe,Seoul Vibe,서울대작전,Seoul Grand Operation,"action, adventure, exciting",netflix,https://www.imdb.com/title/tt13611770/,1
