English,Korean,Other,DL,ISSUE,CC SRC,Validate,Assign,Genres,List,Link,IMDb
Descendants of the Sun,태양의 후예,Descended From the Sun___The Sun’s Descendants___DOTS___DOS,1,---,viki,1,-done,"medical, drama, melodrama, romantic, comedy",listed,https://www.imdb.com/title/tt4925000/?ref_=nv_sr_srsg_0,1
Designated Survivor: 60 Days,지정생존자: 60일,指定生存者: 60日,1,---,netflix,1,-done,"exciting, drama, conspiracy, political",netflix,https://www.imdb.com/title/tt10405394/?ref_=nv_sr_srsg_3,1
Devilish Joy,마성의 기쁨,Diabolic Joy___Ma-seong's Happiness,1,---,viki,1,-done,"romantic, comedy",listed,https://www.imdb.com/title/tt8594250/?ref_=nv_sr_srsg_0,1
Do Do Sol Sol La La Sol,도도솔솔라라솔,---,1,---,netflix,1,-done,"charming, quirky, dramedy, drama, comedy, romantic",netflix,https://www.imdb.com/title/tt12850262/?ref_=nv_sr_srsg_0,1
Don't be the First One!,1호가 될 순 없어,---,1,sk vpn,netflix,1,-done,"reality, marriage",netflix,https://www.imdb.com/title/tt15128006/?ref_=nv_sr_srsg_0,1
Doom at Your Service,어느 날 우리집 현관으로 멸망이 들어왔다,One Day Destruction Entered the Front Door of My House,1,---,viki,1,-done,"romance, supernatural, fantasy",listed,https://www.imdb.com/title/tt13669128/?ref_=nv_sr_srsg_0,1
Extracurricular,인간수업,人間授業___Human Class,1,---,netflix,1,-done,"dark, teen, ensemble, crime",netflix,https://www.imdb.com/title/tt10262630/?ref_=nv_sr_srsg_0,1
Familiar Wife,아는 와이프,Knowing Wife___Wife That I Know,1,sk vpn,netflix,1,-done,"soapy, sentimental, drama, romantic, emotional",netflix,https://www.imdb.com/title/tt8487786/?ref_=nv_sr_srsg_0,1
Flower of Evil,악의 꽃,---,1,---,viki,1,-done,"melodrama, romance, thriller, suspense",listed,https://www.imdb.com/title/tt11691684/?ref_=nv_sr_srsg_0,1
Forecasting Love and Weather,기상청 사람들: 사내연애 잔혹사 편,Meteorological Administration People: Office Romance Cruelty,1,---,netflix,1,-done,"charming, romantic, comedy",netflix,https://www.imdb.com/title/tt15140592/?ref_=nv_sr_srsg_0,1
